"DD Field","Source Field","Field Description","Selected","Resource"
"CurrentUse","UseCurrent","A list of the type(s) of current use of the property. The current use of the property is an important factor in understanding the overall condition of the land and determining it's appropriateness for intended use.","Yes","Property"
"DOH1","","Department of Housing decal number for the mobile or manufactured home.  For the first or only unit/section use DOH 1 over DOH 2 or 3.","No","Property"
"DOH2","","Department of Housing decal number for the mobile or manufactured home.  For two units/sections use DOH 1 and 2 over DOH 3.","No","Property"
"DOH3","","Department of Housing decal number for the mobile or manufactured home.  For two units/sections use DOH 1 and 2 over DOH 3.","No","Property"
"DaysOnMarket","DOM","The number of days the listing is on market, as defined by the MLS business rules.","No","Property"
"DevelopmentStatus","","A list of the Development Status of the property.  The developmental status of land is an important factor in selling, purchasing and developing of land properties.","No","Property"
"DirectionFaces","FrontingOn","The compass direction that the main entrance to the building faces. For example, North, South, East, West, South-West, etc. It may also be known as the building exposure.","Yes","Property"
"Directions","Directions","Driving directions to the property.","Yes","Property"
"Disclaimer","","Text that serves as the negation or limitation of the rights under a warranty given by a seller to a buyer.","No","Property"
"Disclosures","","Legal or pertinent information that should be disclosed to potential buyer's agents.","No","Property"
"DistanceToBusComments","","A textual description of the distance to local bus stops.","No","Property"
"DistanceToBusNumeric","","Numeric distance from the property to the nearest bus stop.","No","Property"
"DistanceToBusUnits","","A pick list of the unit linear measurement.  i.e. feed, meters, yards, kilometers, miles, etc.","No","Property"
"DistanceToElectricComments","","If the property does not currently have electrical utility, is service available and if so, what is the distance.","No","Property"
"DistanceToElectricNumeric","","Numeric distance from the property to the electrical utility.","No","Property"
"DistanceToElectricUnits","","A pick list of the unit linear measurement.  i.e. feed, meters, yards, kilometers, miles, etc.","No","Property"
"DistanceToFreewayComments","","A textual description of the distance to freeways.","No","Property"
"DistanceToFreewayNumeric","","Numeric distance from the property to the nearest freeway.","No","Property"
"DistanceToFreewayUnits","","A pick list of the unit linear measurement.  i.e. feed, meters, yards, kilometers, miles, etc.","No","Property"
"DistanceToGasComments","","If the property does not currently have natural gas utility, is service available and if so, what is the distance.","No","Property"
"DistanceToGasNumeric","","Numeric distance from the property to the gas utility.","No","Property"
"DistanceToGasUnits","","A pick list of the unit linear measurement.  i.e. feed, meters, yards, kilometers, miles, etc.","No","Property"
"DistanceToPhoneServiceComments","","If the property does not currently have phone service, is service available and if so, what is the distance.","No","Property"
"DistanceToPhoneServiceNumeric","","Numeric distance from the property to the phone utility.","No","Property"
"DistanceToPhoneServiceUnits","","A pick list of the unit linear measurement.  i.e. feed, meters, yards, kilometers, miles, etc.","No","Property"
"DistanceToPlaceofWorshipComments","","A textual description of the distance to local places of worship.","No","Property"
"DistanceToPlaceofWorshipNumeric","","Numeric distance from the property to the nearest place of worship.","No","Property"
"DistanceToPlaceofWorshipUnits","","A pick list of the unit linear measurement.  i.e. feed, meters, yards, kilometers, miles, etc.","No","Property"
"DistanceToSchoolBusComments","","Distance from the property to the nearest school bus pickup point.","No","Property"
"DistanceToSchoolBusNumeric","","Numeric distance from the property to the nearest school bus pickup point.","No","Property"
"DistanceToSchoolBusUnits","","A pick list of the unit linear measurement.  i.e. feed, meters, yards, kilometers, miles, etc.","No","Property"
"DistanceToSchoolsComments","","A textual description of the distance to local schools.","No","Property"
"DistanceToSchoolsNumeric","","Numeric distance from the property to the nearest school.","No","Property"
"DistanceToSchoolsUnits","","A pick list of the unit linear measurement.  i.e. feed, meters, yards, kilometers, miles, etc.","No","Property"
"DistanceToSewerComments","","If the property does not currently have sewer or septic, is sewer service available and if so, what is the distance.","No","Property"
"DistanceToSewerNumeric","","Numeric distance from the property to the sewer utility.","No","Property"
"DistanceToSewerUnits","","A pick list of the unit linear measurement.  i.e. feed, meters, yards, kilometers, miles, etc.","No","Property"
"DistanceToShoppingComments","","A description of the distance to primary shopping sources such as groceries, gasoline, clothing or department stores.","No","Property"
"DistanceToShoppingNumeric","","Numeric distance from the property to the nearest shopping.","No","Property"
"DistanceToShoppingUnits","","A pick list of the unit linear measurement.  i.e. feed, meters, yards, kilometers, miles, etc.","No","Property"
"DistanceToStreetComments","","If the property does not have a maintained road or street adjacent to the lot, what are the conditions of access and distance to a maintained road.","No","Property"
"DistanceToStreetNumeric","","Numeric distance from the property to the street.","No","Property"
"DistanceToStreetUnits","","A pick list of the unit linear measurement.  i.e. feed, meters, yards, kilometers, miles, etc.","No","Property"
"DistanceToWaterComments","","If the property does not currently have water utility, is service available and if so, what is the distance.","No","Property"
"DistanceToWaterNumeric","","Numeric distance from the property to the water utility.","No","Property"
"DistanceToWaterUnits","","A pick list of the unit linear measurement.  i.e. feed, meters, yards, kilometers, miles, etc.","No","Property"
"DocumentsAvailable","","A list of the Documents available for the property.  Knowing what documents are available for the property is valuable information.","No","Property"
"DocumentsChangeTimestamp","SupplementModificationTimestamp","System generated timestamp of when the last update or change to the documents for this listing was made.","No","Property"
